비속어,카테고리,text
비욕설,혐오,텐완문 기모찌 워씔 중궈런 아리
비욕설,혐오,여편네 하라 드라마
비욕설,혐오,보수 보수 대갈 문재인 세상 사람
비욕설,섹슈얼,거짓말 기억 가물 가물 오늘 시간 이면 모텔 소리 진동
비욕설,일반_긍정,듀뽕
욕설,섹슈얼,섹파 꼬셔야해 바로 즉각 시발 항상
비욕설,일반_긍정,사실 양쪽 어보 사람 매장
비욕설,혐오,동시 성적 상상 불륜
비욕설,일반_긍정,김호중 트바 로티 영향력 금액 기부 수재민 여러분
욕설,혐오,가능 병신 종북 병신
욕설,섹슈얼,남정 발기 발정 개새끼 마냥 거리 시선 얼마나
욕설,혐오,똘아이
비욕설,혐오,꼬시 노가다 제발 좌파
비욕설,일반_긍정,조민아 건강 아무 사람 걱정
욕설,혐오,하이 좌빠 깨문 인간 말종 쓰레기 좀비
비욕설,일반_긍정,진짜 계속
비욕설,혐오,공장 그냥 돼지 돼지
욕설,혐오,왕복 시간 진짜 부모 잘못 고생 시발
욕설,혐오,씨발련 도끼 대가리 동강
비욕설,섹슈얼,꼬무룩돼 서지 일단 조금 사정 여자
비욕설,일반_긍정,정해
비욕설,섹슈얼,쓰리썸
비욕설,혐오,또또 문죄인 이아주
비욕설,일반_긍정,예전 서인영 방송작가 폭발 이유
욕설,혐오,여자 국민 병신
비욕설,혐오,
욕설,혐오,댓글 문제 이유 팩트 쿠키 닥치고
비욕설,일반_긍정,제의 이상민 사신 김범룡 수고
비욕설,섹슈얼,임자 연락 만날 궁리 그게 불륜 시작 지그 다음 삽입 간문제
비욕설,일반_긍정,선생님 강의 내용 쏙쏙 말씀 위트 완벽 자체 강의 시간
욕설,혐오,나이 사람 설마 어머니 혹시 짱깨
비욕설,섹슈얼,여자 삽입 여자 길이 넓이 고추 길이 궁합 확인
비욕설,섹슈얼,페미 섹스 안함
비욕설,혐오,검둥이 원숭이
비욕설,섹슈얼,왁싱 보고
비욕설,일반_긍정,예나 지금 미지 존재 의지 기독교 사이비
비욕설,혐오,애기 아빠
비욕설,혐오,여자 고개
비욕설,섹슈얼,혼자 가면 도우미 진상 기피 때문 만약 노래방 단골 사장 보도 수도 거짐 안올껄 나이 대오
비욕설,혐오,베놈 이참 박멸
비욕설,일반_긍정,광고 광고 광고 지하 광고 보고 돈대산 처럼 행동 최고 제품 포장 기만 행위 사기
비욕설,일반_긍정,버마
비욕설,혐오,거르 아이유
비욕설,일반_긍정,신수지 얼굴
비욕설,일반_긍정,조현재 드라마 대부분 기도 인품 얼굴 조각 이구
비욕설,혐오,그냥 보임 좌파 돈앞 편이
욕설,섹슈얼,자지 지배 자지 기미
비욕설,혐오,이하이 언제 월드 스타 작고 월드 스타
비욕설,일반_긍정,연기 요나 인격 홨팅
비욕설,혐오,자유 꼭지 여자 보이 쿵쾅
비욕설,섹슈얼,키스 코로나 때문 여자도 항상 한번 여자 모임 취소 아씨 여친
비욕설,섹슈얼,최고 엉덩이 졸라
비욕설,섹슈얼,아로마 한번 꼬추 발라 추가 평상시 기분 맛사지 사가 칭찬 그거 발라 인터넷
비욕설,혐오,악플러 노안
비욕설,섹슈얼,
비욕설,섹슈얼,자지 시발 서지 하자
비욕설,혐오,간이 우려 의미
비욕설,혐오,한남 난리 쯧쯧
욕설,혐오,중앙 일보 자식 정말 기사
비욕설,혐오,수고
비욕설,혐오,짱깨 동네 축하 축하
비욕설,섹슈얼,성욕 거의 가끔 자위 성욕 옛날 성욕 사실 뽀뽀 키스 문제 섹스 시름 애기 우리 모습 때문 그냥 참고 사랑 육체 관계도 분명 포함
비욕설,일반_긍정,
비욕설,혐오,진쟈 정신 이상자 일상 대화
비욕설,일반_긍정,마음 방탄소년단 지민
비욕설,일반_긍정,태아 뭐좀 축하 걱정
비욕설,섹슈얼,좆습니
